timestamp,station_id,PM2.5,PM10,NH3,NO,NO2,SO2,CO,O3,temperature,humidity,wind_speed,wind_direction,traffic_volume
01-06-2024 00:00,1,12.7,28.3,5.1,23.9,29,9,0.45,14.9,30.6,72,3.5,268,350
01-06-2024 00:00,2,46.4,49.7,9.7,13.6,23.7,5.1,0.68,20.9,25.6,85,8.9,25,1979
01-06-2024 01:00,1,44.9,31,25,8.6,27.5,10.3,1.78,25.6,18.6,80,0.9,328,813
01-06-2024 01:00,2,15.3,55.6,24.6,10.1,15.5,19.3,1.94,28.4,15.5,72,1,94,611
01-06-2024 02:00,1,46.6,24.4,17.2,12.2,31.7,8.4,0.51,10.8,18.2,85,1,75,1592
01-06-2024 02:00,2,26.1,33,26.7,10.3,26.4,16,1.88,27.8,30.2,69,0.7,150,1743
01-06-2024 03:00,1,10.9,59.4,20.8,12.6,43.7,14.3,0.36,14.7,26.7,86,6.9,324,1670
01-06-2024 03:00,2,44.8,22.4,6.5,6.5,44,18.2,0.61,24.6,22.7,66,8,245,1302
01-06-2024 04:00,1,43.5,54.7,23.9,21.1,46.3,7.2,0.66,14.6,33.2,71,3.5,89,270
01-06-2024 04:00,2,34.9,48.5,20.6,5.3,25.4,18.1,0.22,21.3,34.9,44,4.1,1,1041
01-06-2024 05:00,1,31.6,27.1,17.3,15.7,30.4,13.5,1.39,6.2,27.1,74,9.9,299,842
01-06-2024 05:00,2,37.4,59.4,7.9,12.8,45.4,11.3,1.56,20.9,15.9,68,3,74,1093
01-06-2024 06:00,1,35.9,42.3,5.6,17.1,46.2,19.1,0.19,22.6,33.5,84,6.6,59,702
01-06-2024 06:00,2,30.7,23.5,28.2,8.6,48.7,11.6,0.17,10.7,33.8,81,5.1,40,1336
01-06-2024 07:00,1,11.4,59.1,7.9,13.6,14.9,5.4,0.62,14.8,18.7,40,9.8,169,511
01-06-2024 07:00,2,37.6,31,27.1,21.3,46.5,10.8,1.87,9.3,25,82,4.9,290,298
01-06-2024 08:00,1,25.3,20.6,17.4,23.4,16.7,8.2,1.86,8.8,24.2,55,4.5,289,1917
01-06-2024 08:00,2,26.2,40,25,22.2,34.1,14.7,0.37,7.9,30.9,73,2.7,36,1334
01-06-2024 09:00,1,48,46.1,20.1,5.9,47.3,9.3,1.41,22.8,19.4,72,0.5,296,1450
01-06-2024 09:00,2,15.9,47,10.1,8,29.2,12.1,0.14,5.4,19.7,83,2.2,98,756
01-06-2024 10:00,1,33,24.1,20.1,17.5,10.2,12.9,0.97,25.1,16.6,47,7.5,110,816
01-06-2024 10:00,2,24.1,53.3,18.7,20.4,23.9,16.9,1.92,13,17.8,53,9.7,278,936
01-06-2024 11:00,1,37.7,58.7,21.9,19.3,15.1,19.4,0.36,29.5,15.4,77,7.3,54,454
01-06-2024 11:00,2,13.5,21.6,16.5,19.4,45.3,11.6,0.44,7.3,27,89,4.3,160,1813
01-06-2024 12:00,1,14.1,54.1,27.4,15.4,33.4,7.3,0.44,11.9,18.8,75,8.3,289,349
01-06-2024 12:00,2,36.5,27,29.1,9.5,10.9,14.7,1.13,17.8,20.6,62,6.7,226,466
01-06-2024 13:00,1,40.9,34.4,25.4,14.8,31.4,9.5,0.45,18.7,15.6,81,3.5,7,761
01-06-2024 13:00,2,48.9,23.7,6.4,5.1,29,10.8,0.31,24.1,21.9,42,5.5,347,358
01-06-2024 14:00,1,33.7,52.3,11.7,20.6,14.8,18.6,0.11,26.5,33.9,87,7.1,56,494
01-06-2024 14:00,2,16.1,27.8,29.9,16.4,20,19,1.83,15.6,32.6,77,5.8,212,900
01-06-2024 15:00,1,22.1,30.4,27.4,23,36.2,10.3,0.85,18.2,24.3,52,9.5,174,709
01-06-2024 15:00,2,28.3,20.9,15.7,8.8,12.5,13.9,0.35,29.3,19.3,48,0.6,256,1889
01-06-2024 16:00,1,26.1,52.3,23.8,13.2,13.1,17.5,0.22,26.6,20.7,80,1.5,312,1070
01-06-2024 16:00,2,18.1,38.3,21.6,13.3,13.9,10.8,1.38,21.9,32.8,60,9.1,261,1326
01-06-2024 17:00,1,31.3,37.8,8.9,15.7,40.2,8.7,0.2,6.1,19.2,72,0.6,180,1282
01-06-2024 17:00,2,15.1,51.4,14.4,8.6,29.6,11.7,0.77,10.4,18.1,72,7.5,165,691
01-06-2024 18:00,1,22.4,26.9,29.1,11.4,25.4,9.3,0.81,25.8,26.3,88,5.4,28,1033
01-06-2024 18:00,2,16.9,48.5,24.2,10.2,29.4,19.9,0.37,16.3,20.2,51,3.6,8,1951
01-06-2024 19:00,1,47.8,51.1,5.4,24,42.7,18.2,1.99,6.8,24.8,79,9.8,161,1168
01-06-2024 19:00,2,46.5,45.8,11.3,5.6,19.4,6.8,0.26,26,32.7,85,5.9,56,631
01-06-2024 20:00,1,38,47.5,20,16.2,45.4,14.3,0.87,17.4,19.6,63,0.9,159,698
01-06-2024 20:00,2,49.8,48.7,18,22,40.4,14.5,1.1,22.9,25.8,78,1.1,213,1360
01-06-2024 21:00,1,49.9,46.9,21,6.2,44.4,9.6,0.56,21.6,16.7,59,6,36,1633
01-06-2024 21:00,2,33.5,55.4,17.2,18.8,20.9,14,1.18,9.1,20.4,47,2.2,182,877
01-06-2024 22:00,1,27.1,33.2,18.7,23.1,49.4,15.3,0.88,20.5,20.4,90,4.6,107,1739
01-06-2024 22:00,2,16.7,37.2,24.8,10.8,20.2,9.7,1.11,18.6,20.2,54,3.3,220,508
01-06-2024 23:00,1,46.1,51.5,17.6,13.1,32.3,18.7,0.32,17.1,32.7,74,1.9,16,1822
01-06-2024 23:00,2,32.2,38,28.1,6.2,41.4,17.6,1.11,10,15.4,69,6.6,160,1404
02-06-2024 00:00,1,26.1,40.5,12.1,19.9,35,15.7,0.65,13.9,23.4,84,0.5,336,122
02-06-2024 00:00,2,11.5,33,16.6,20.3,34.7,18.6,1.52,26.3,29.8,86,4.9,197,1930
02-06-2024 01:00,1,47.5,24.3,26.7,6.9,39.1,6.3,1.92,5.4,31.2,84,0.4,220,749
02-06-2024 01:00,2,32.3,36.9,28.9,17.7,26.1,12.3,0.3,11.8,24.6,67,0,236,659
02-06-2024 02:00,1,30.1,39.3,28.2,6.8,30.2,19.3,0.55,18.1,18.9,89,2.2,102,1423
02-06-2024 02:00,2,11.7,49.2,28,6.7,27.1,14.3,1.88,26.8,31.4,58,2.3,299,625
02-06-2024 03:00,1,16.3,52.8,26.9,9.9,39.9,9.1,1.64,23,33.6,90,7.2,158,868
